KO,gene_description,module,header,genome,present,classification,phylum,class,Completeness,Contamination,size_bp
K00193,"cdhC; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169] [RN:R09096 R10219]",amaerobic CO oxidation,CO oxidation,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00193,acetyl-CoA decarbonylase/synthase complex [EC:2.3.1.-] [RN:R09096],Methanogenesis,C1-methane,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00193,"cdhC; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169] [RN:R09096 R10219]",amaerobic CO oxidation,CO oxidation,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00193,acetyl-CoA decarbonylase/synthase complex [EC:2.3.1.-] [RN:R09096],Methanogenesis,C1-methane,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00194,"cdhD; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245] [RN:R09096 R10219]",amaerobic CO oxidation,CO oxidation,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00194,acetyl-CoA decarbonylase/synthase complex [EC:2.3.1.-] [RN:R09096],Methanogenesis,C1-methane,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00194,acetyl-CoA decarbonylase/synthase complex [EC:2.3.1.-] [RN:R10243],Wood-Ljungdahl pathway,carbon fixation,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00194,"cdhD; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245] [RN:R09096 R10219]",amaerobic CO oxidation,CO oxidation,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00194,acetyl-CoA decarbonylase/synthase complex [EC:2.3.1.-] [RN:R09096],Methanogenesis,C1-methane,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00194,acetyl-CoA decarbonylase/synthase complex [EC:2.3.1.-] [RN:R10243],Wood-Ljungdahl pathway,carbon fixation,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00195,"cdhB; anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon [RN:R07157]",amaerobic CO oxidation,CO oxidation,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00195,"cdhB; anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon [RN:R07157]",amaerobic CO oxidation,CO oxidation,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00196,carbon-monoxide dehydrogenase iron sulfur subunit,amaerobic CO oxidation,CO oxidation,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00196,carbon-monoxide dehydrogenase iron sulfur subunit,amaerobic CO oxidation,CO oxidation,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00197,"cdhE; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245] [RN:R09096 R10219]",amaerobic CO oxidation,CO oxidation,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00197,acetyl-CoA decarbonylase/synthase complex [EC:2.3.1.-] [RN:R09096],Methanogenesis,C1-methane,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00197,acetyl-CoA decarbonylase/synthase complex [EC:2.3.1.-] [RN:R10243],Wood-Ljungdahl pathway,carbon fixation,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00197,"cdhE; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245] [RN:R09096 R10219]",amaerobic CO oxidation,CO oxidation,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00197,acetyl-CoA decarbonylase/synthase complex [EC:2.3.1.-] [RN:R09096],Methanogenesis,C1-methane,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00197,acetyl-CoA decarbonylase/synthase complex [EC:2.3.1.-] [RN:R10243],Wood-Ljungdahl pathway,carbon fixation,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00198,carbon-monoxide dehydrogenase [EC:1.2.7.4] [RN:R07157],Wood-Ljungdahl pathway,carbon fixation,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00198,carbon-monoxide dehydrogenase [EC:1.2.7.4] [RN:R07157],Wood-Ljungdahl pathway,carbon fixation,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00200,formylmethanofuran dehydrogenase [EC:1.2.99.5] [RN:R03015],Methanogenesis,C1-methane,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00200,formylmethanofuran dehydrogenase [EC:1.2.99.5] [RN:R03015],Methanogenesis,C1-methane,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00201,formylmethanofuran dehydrogenase [EC:1.2.99.5] [RN:R03015],Methanogenesis,C1-methane,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00201,formylmethanofuran dehydrogenase [EC:1.2.99.5] [RN:R03015],Methanogenesis,C1-methane,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00202,formylmethanofuran dehydrogenase [EC:1.2.99.5] [RN:R03015],Methanogenesis,C1-methane,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00202,formylmethanofuran dehydrogenase [EC:1.2.99.5] [RN:R03015],Methanogenesis,C1-methane,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00203,formylmethanofuran dehydrogenase [EC:1.2.99.5] [RN:R03015],Methanogenesis,C1-methane,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00203,formylmethanofuran dehydrogenase [EC:1.2.99.5] [RN:R03015],Methanogenesis,C1-methane,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00204,4Fe-4S ferredoxin,Methanogenesis,C1-methane,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00204,4Fe-4S ferredoxin,Methanogenesis,C1-methane,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00205,4Fe-4S ferredoxin,Methanogenesis,C1-methane,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00205,4Fe-4S ferredoxin,Methanogenesis,C1-methane,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00281,glycine cleavage system [RN:R01221],glycine cleavage system,glycine cleavage system,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00281,glycine cleavage system [RN:R01221],glycine cleavage system,glycine cleavage system,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00283,glycine cleavage system [RN:R01221],glycine cleavage system,glycine cleavage system,R4500m150m.161,1,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00283,glycine cleavage system [RN:R01221],glycine cleavage system,glycine cleavage system,R4500m500m.275,1,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00319,methylenetetrahydromethanopterin dehydrogenase [EC:1.5.99.9] [RN:R04456],Methanogenesis,C1-methane,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00319,methylenetetrahydromethanopterin dehydrogenase [EC:1.5.99.9] [RN:R04456],Methanogenesis,C1-methane,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00320,"coenzyme F420-dependent N5,N10-methenyltetrahydromethanopterin reductase [EC:1.5.99.11] [RN:R04464]",Methanogenesis,C1-methane,R4500m150m.161,1,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00320,"coenzyme F420-dependent N5,N10-methenyltetrahydromethanopterin reductase [EC:1.5.99.11] [RN:R04464]",Methanogenesis,C1-methane,R4500m500m.275,1,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00368,"nir, nitrite reductase (NO-forming) [EC:1.7.2.1] [RN:R00783 R00785]",Annamox,Nitrogen,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00368,"nir, nitrite reductase (NO-forming) [EC:1.7.2.1] [RN:R00783 R00785]",Annamox,Nitrogen,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00370,nitrite oxidoreductase [EC:1.7.99.4] [RN:R00798],Complete nitrification,Nitrogen,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00370,"nitrate reductase / nitrite oxidoreductase, alpha subunit",Nitrite oxidation,Nitrogen,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00370,"nxr, nitrite oxidoreductase [EC:1.7.99.4] [RN:R00798]",Annamox,Nitrogen,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00370,nitrite oxidoreductase [EC:1.7.99.4] [RN:R00798],Complete nitrification,Nitrogen,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00370,"nitrate reductase / nitrite oxidoreductase, alpha subunit",Nitrite oxidation,Nitrogen,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00370,"nxr, nitrite oxidoreductase [EC:1.7.99.4] [RN:R00798]",Annamox,Nitrogen,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00371,nitrite oxidoreductase [EC:1.7.99.4] [RN:R00798],Complete nitrification,Nitrogen,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00371,"nitrate reductase / nitrite oxidoreductase, beta subunit",Nitrite oxidation,Nitrogen,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00371,"nxr, nitrite oxidoreductase [EC:1.7.99.4] [RN:R00798]",Annamox,Nitrogen,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00371,nitrite oxidoreductase [EC:1.7.99.4] [RN:R00798],Complete nitrification,Nitrogen,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00371,"nitrate reductase / nitrite oxidoreductase, beta subunit",Nitrite oxidation,Nitrogen,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00371,"nxr, nitrite oxidoreductase [EC:1.7.99.4] [RN:R00798]",Annamox,Nitrogen,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00382,glycine cleavage system [RN:R01221],glycine cleavage system,glycine cleavage system,R4500m150m.161,1,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00382,glycine cleavage system [RN:R01221],glycine cleavage system,glycine cleavage system,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00394,aprA-adenylylsulfate reductase-subunit A [EC:1.8.99.2],Sulfite oxidation,Sulfur,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00394,aprA-adenylylsulfate reductase-subunit A [EC:1.8.99.2],Sulfite oxidation,Sulfur,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00399,methyl-coenzyme M reductase [EC:2.8.4.1] [RN:R04541],Methanogenesis,C1-methane,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00399,methyl-coenzyme M reductase [EC:2.8.4.1] [RN:R04541],Methanogenesis,C1-methane,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00399,methyl-coenzyme M reductase [EC:2.8.4.1] [RN:R04541],Methanogenesis,C1-methane,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00399,methyl-coenzyme M reductase [EC:2.8.4.1] [RN:R04541],Methanogenesis,C1-methane,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00399,methyl-coenzyme M reductase [EC:2.8.4.1] [RN:R04541],Methanogenesis,C1-methane,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00399,methyl-coenzyme M reductase [EC:2.8.4.1] [RN:R04541],Methanogenesis,C1-methane,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00399,methyl-coenzyme M reductase [EC:2.8.4.1] [RN:R04541],Methanogenesis,C1-methane,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00399,methyl-coenzyme M reductase [EC:2.8.4.1] [RN:R04541],Methanogenesis,C1-methane,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
