genome,gtdb_classification,checkm_ompleteness,checkm_contamination,genome_size_bp,pathway_found,site_generated,previously_reported,3000m1000m,3000m150m,3000m2000m,3000m3000m,3000m500m,3000m50m,3500m1000m,3500m150m,3500m2000m,3500m3000m,3500m500m,3500m50m,4000m1000m,4000m150m,4000m2000m,4000m3000m,4000m500m,4000m50m,4500m1000m,4500m150m,4500m2000m,4500m3000m,4500m4000m,4500m500m,4500m50m,500m150m,500m500m,500m50m
R3000m2000m.22,d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__UBA4427;g__DUBZ01;s__,91.37,1.97,4860238,3HP bi-cycle,"OC3,2000m",no,3.172836,0.03305062,10.881207,0.8689448,0.5093364,0.015391446,3.193209,0.03520357,3.4739482,1.4922822,0.21790268,0.019633448,3.4432948,0.026720196,4.404561,0.58676744,0.16259395,0.009122406,2.6331103,0.020720014,5.4253635,0.6584379,0.09724715,0.34533235,0.039313562,0.049867693,0.21768343,0.017734006
R3000m2000m.241,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__,55.61,0.12,990397,3HP/4HB,"OC3,2000m",no,20.774696,46.541378,15.282362,0.22293103,17.591003,0.025751038,20.490084,53.771225,8.26325,0.50729483,10.611166,0.017277768,18.171076,47.44556,6.037192,0.34950736,12.120602,0.012637448,17.933332,33.880783,8.331997,0.60392696,0.33973712,24.788853,0.0275138,34.05639,7.7527423,5.474318
R3000m2000m.276,d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__SMWR01;g__JABSQX01;s__,54.03,2.9,2611858,"3HP bicycle, CBB","OC3,2000m","Jaffe et al., 2024",0.9312539,0.41639388,7.201874,0.7145456,1.0474654,0.00876214,0.4854139,0.32079518,3.7108645,1.9294745,0.49496782,0.002170822,1.1232235,0.051771328,5.796513,2.4218576,0.5220236,0.001041312,1.00411,0.033784512,7.651888,5.2137613,0.20686461,1.3579866,0.004384728,0.40716717,0.192713,0.033319946
R3000m2000m.282,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__MedAcidi-G1;g__UBA3125;s__UBA3125 sp015658775,96.58,1.71,2084170,3HP bi-cycle,"OC3,2000m",no,3.998761,0.23460412,55.315887,39.388744,1.0439988,0.035023257,2.7423353,0.15823528,41.191128,58.450768,0.52379715,0.038513772,4.807375,0.061916977,65.75421,76.99613,0.24288127,0.022299714,3.556111,0.13051686,89.67193,97.85192,65.143974,0.57972336,0.09950294,0.14579391,0.2631434,0.123122975
R3000m2000m.79,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__UBA60;s__UBA60 sp002503395,80.93,1.66,2001643,3HP/4HB,"OC3,2000m",no,0.7725296,0.15018548,17.703362,11.835892,0.42234492,0.010157388,0.6641671,0.08022559,7.3001833,15.283967,0.47286773,0.014555585,0.6061026,0.039323222,6.0308824,5.773737,0.16610819,0.00677074,0.56321955,0.041045923,9.582211,8.122809,5.19397,0.3188542,0.014985238,0.110290065,0.16100548,0.0340366
R3000m3000m.111,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__;s__,79.02,1.09,1801428,3HP/4HB,"OC3,3000m",no,0.070838146,0.056155205,0.38557824,33.221855,0.026229808,0.017027194,0.06480229,0.06300902,0.093353055,8.816215,0.037625577,0.011780323,0.061534993,0.09394039,0.08278206,1.2379729,0.01995424,0.008954386,0.046864543,0.15425356,0.121652186,1.0221616,19.609335,0.035447758,0.028334918,0.05221991,0.01851145,0.02611961
R3000m3000m.119,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145;s__,75.19,0.12,2591050,3HP bi-cycle,"OC3,3000m",no,0.28725412,0.07279872,5.3896074,65.02983,0.11368343,0.041514423,0.1784572,0.059062038,1.6432796,31.494991,0.06986434,0.055360723,0.22150393,0.035441577,1.7201353,20.330198,0.050391044,0.017681723,0.13663687,0.08231517,2.1763477,21.911388,91.783966,0.06434347,0.07556441,0.064412266,0.10895942,0.18650198
R3000m3000m.132,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__Nitrosopelagicus sp012964965,77.1,0.97,846553,3HP/4HB,"OC3,3000m",no,161.39337,27.016205,276.2672,75.99737,191.0223,0.06822143,206.7012,21.853754,303.76843,172.44133,131.40433,0.021527993,227.36307,7.324979,298.33493,159.97298,67.09103,0.01688229,150.61316,2.6221952,374.67285,229.26855,66.62838,92.78671,0.024436986,24.864656,57.02263,2.7509942
R3000m3000m.135,d__Bacteria;p__Planctomycetota;c__GCA-002687715;o__GCA-002687715;f__;g__;s__,72.23,2.25,2493369,3HP/4HB,"OC3,3000m",no,1.1567385,0.14969878,2.2214196,6.8657846,0.7567237,0.017876782,0.93891084,0.11443735,0.9492087,3.1137538,0.6480034,0.012819818,1.0293529,0.050174914,0.97147727,1.7781936,0.37145728,0.004705919,0.9679353,0.025492668,1.5855238,3.4780176,2.9226418,0.6837754,0.02064818,0.15006746,0.23929474,0.15125874
R3000m3000m.16,d__Bacteria;p__Hydrogenedentota;c__Hydrogenedentia;o__Hydrogenedentiales;f__GCA-2746185;g__DTSJ01;s__,94.03,2.85,4630505,3HP bi-cycle,"OC3,3000m",no,0.07861303,0.013984827,2.625814,15.076901,0.01699404,0.010627692,0.07430232,0.014048384,0.41762808,5.7712154,0.018159898,0.011769742,0.06146632,0.006893803,0.29596153,1.1587938,0.008155759,0.005124268,0.03288862,0.013584487,0.35503697,1.2162639,3.3398855,0.011543909,0.021130454,0.009958055,0.015078392,0.012449207
R3000m3000m.18,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA3077;s__,98.1,1.55,2891558,"3HP bicycle, CBB","OC3,3000m","Jaffe et al., 2024",0.008138483,0.015618458,0.26897296,62.737667,0.012023918,0.026771426,0.004777909,0.010551043,0.030679425,8.518382,0.003885089,0.021202406,0.006827022,0.007248439,0.02089832,0.5505898,0.003028023,0.016103748,0.004616493,0.013775888,0.03830485,1.0046519,0.9927568,0.005375668,0.05550761,0.006303549,0.00384864,0.017366957
R3000m3000m.195,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__PSPT01;s__,75.2,0.27,1771340,3HP/4HB,"OC3,3000m",no,0.012560787,0.0156565,0.02539573,8.899929,0.008303531,0.018110579,0.017518794,0.013896215,0.008145877,0.73477674,0.010052223,0.023896853,0.008942265,0.009205409,0.007117064,0.021978334,0.004719786,0.016204232,0.008551606,0.015419437,0.004964963,0.008271653,0.0247228,0.005673249,0.042122774,0.01183859,0.019601343,0.014450325
R3000m3000m.210,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__GCA-002726655;s__,92.96,3.15,4132272,3HP bi-cycle,"OC3,3000m",no,0.0335967,0.04332373,0.7529632,32.65421,0.018795528,0.014732337,0.029108139,0.018865332,0.08036289,8.792991,0.014068712,0.009659893,0.023527432,0.006306137,0.06736597,1.5209515,0.006894868,0.004906901,0.015409051,0.009489503,0.08808984,1.4823815,0.90612346,0.009199137,0.014588608,0.018346405,0.014402705,0.024530627
R3000m3000m.22,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA12015;f__UBA12015;g__UBA12015;s__,90.97,0,3044945,3HP bi-cycle,"OC3,3000m",no,0.05443812,0.011251255,0.30564195,15.579474,0.03350708,0.015021791,0.04661046,0.010711052,0.044065107,4.32898,0.017338265,0.0084734,0.0644919,0.007151915,0.038143653,1.0163215,0.013457248,0.005258567,0.024067713,0.016475193,0.033463217,0.6041188,0.48910213,0.017852744,0.018294338,0.005920134,0.011986367,0.010226585
R3000m3000m.23,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA7887;f__UBA7887;g__MarineAlpha9-Bin7;s__MarineAlpha9-Bin7 sp002937585,91.1,0.16,2265969,3HP bi-cycle,"OC3,3000m",no,3.8864868,0.02601672,18.35246,9.336639,0.347447,0.015346745,1.9583914,0.033328187,18.93679,19.696457,0.43033838,0.011384678,3.1452787,0.015746687,24.780333,23.578028,0.1257562,0.009494293,2.540854,0.037201427,35.435856,36.73509,19.658697,0.1742257,0.023838904,0.02253841,0.10064733,0.007411224
R3000m3000m.234,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-K1;s__,87.2,1.6,1955171,3HP/4HB,"OC3,3000m",no,0.039084237,0.8838525,0.1567669,23.074234,0.05322262,0.058357503,0.040107317,0.1927737,0.029483007,2.7756417,0.036886726,0.07314647,0.022911502,0.2067792,0.018257372,0.08488005,0.017197864,0.025503574,0.018733507,0.09941915,0.024491783,0.051011253,0.11000446,0.019509794,0.054099467,0.29255712,0.5641006,0.8582119
R3000m3000m.25,d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__UBA4427;g__DUBZ01;s__DUBZ01 sp012960035,70.34,4.19,3106168,3HP bi-cycle,"OC3,3000m",no,0.21311493,0.02278976,0.86646354,7.027634,0.4479442,0.008381208,0.17880648,0.03166174,0.2808734,1.9051737,0.19305111,0.00896687,0.17850278,0.024288261,0.34141955,0.6747232,0.20210879,0.002440934,0.122025274,0.01699403,0.50436085,1.3019187,1.3678546,0.5473579,0.006983717,0.022975117,0.102809675,0.01337055
R3000m3000m.264,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PS1;f__Thioglobaceae;g__DUCF01;s__,74.84,0.86,1134037,"3HP bicycle, CBB","OC3,3000m","Jaffe et al., 2024",0.29611787,0.16333956,2.0371695,77.25592,0.11978921,0.06628216,0.39708328,0.081571296,0.432113,37.992897,0.11138408,0.050933044,0.29327795,0.049256135,0.24117117,3.1518214,0.056343377,0.024289642,0.14682475,0.041868072,0.34593266,2.0150483,37.674675,0.07000753,0.04139177,0.099206135,0.11454988,0.07930707
R3000m3000m.269,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-Q1;s__,61.38,2.52,1628798,3HP/4HB,"OC3,3000m",no,0.24261552,0.17412198,0.6135729,10.269976,0.20197798,0.013957066,0.26539806,0.2629172,0.22519712,3.313789,0.08553087,0.01550656,0.1591993,0.08035082,0.09935101,0.39385745,0.14932363,0.007921211,0.13990135,0.066048205,0.12487405,0.36586905,2.6989262,0.26937222,0.007290176,1.1908841,0.10865895,0.05952793
R3000m3000m.38,d__Bacteria;p__Hydrogenedentota;c__Hydrogenedentia;o__Hydrogenedentiales;f__GCA-2746185;g__DTSJ01;s__DTSJ01 sp012965445,95.6,1.28,4249761,3HP bi-cycle,"OC3,3000m",no,5.0591135,0.25820446,16.322504,12.814881,0.8402531,0.003028233,3.7151973,0.09428825,3.0320728,14.936397,0.81298685,0.002474834,3.8980455,0.024160437,3.564198,5.0234275,0.3782396,0.001351618,2.625698,0.005628926,3.084298,6.123153,3.1290352,0.3736456,0.002786983,0.36730078,0.49125636,0.022658931
R3000m3000m.46,d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__;g__;s__,87.2,3.66,3945381,3HP bi-cycle,"OC3,3000m",no,1.8381113,0.120223075,7.4469166,10.388768,0.5815985,0.005237352,1.9437006,0.023417508,1.5137005,4.674908,0.38410443,0.0039004,1.6671565,0.009514193,1.9678121,2.1309707,0.15594122,0.002204721,1.1943614,0.013842876,2.4921212,2.0496926,1.8160273,0.2581722,0.008153274,0.03194488,0.431058,0.07839955
R3000m3000m.60,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-K1;s__MGIIa-K1 sp004195515,86.13,1.6,1834982,3HP/4HB,"OC3,3000m",no,0.08018394,0.020208718,0.48727205,18.846254,0.013335304,0.014372936,0.18390904,0.011687561,0.030404096,3.3756094,0.008926059,0.01759616,0.04013941,0.01464379,0.009734761,0.18460245,0.00558258,0.006580493,0.013220012,0.014644894,0.011090688,0.07678419,2.9408197,0.00504749,0.009978034,0.014194205,0.17576355,0.035279475
R3000m3000m.65,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas marina,99.12,0.96,4119726,CBB,"OC3,3000m",no,27.847395,0.102071196,42.342186,15.402117,2.5282733,0.8827307,0.04812674,0.020692436,0.018657697,0.03367688,0.012172308,0.022805018,0.032411333,0.009731989,0.061874516,0.012026377,0.00534869,0.013577932,0.021835724,0.011133708,0.008921316,0.04183389,0.008725358,0.029138865,0.024065444,0.01814938,0.916769,0.566433
R3000m3000m.67,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__,75.08,2.35,2866514,3HP bi-cycle,"OC3,3000m",no,3.2438905,0.87001264,6.3845615,7.315219,0.7329383,0.008008461,2.4959753,0.33699596,2.578701,6.213591,0.48807722,0.00692388,2.3249276,0.06772874,1.900813,3.0172486,0.23555435,0.004347772,1.5698757,0.044051442,2.5814443,5.0851116,0.29924563,0.2876208,0.014358259,0.5453689,0.49998075,0.16851488
R3000m3000m.72,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__UBA1135;g__GCA-2746235;s__,93.01,1.14,2055335,3HP/4HB,"OC3,3000m",no,0.043130465,0.12370496,0.110382676,14.951052,0.04769024,0.014333873,0.04228264,0.031184178,0.024301736,2.0395868,0.029463938,0.018163847,0.03510513,0.013093116,0.014057002,0.19249201,0.025094975,0.010805361,0.03135581,0.021000918,0.031389743,0.28925094,5.883107,0.02505219,0.028359402,0.13853848,0.051772002,0.120086454
R3000m500m.167,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__MedAcidi-G1;g__UBA9410;s__UBA9410 sp014237715,65.7,2.56,1437510,3HP bi-cycle,"OC3,500m",no,0.81977785,520.0825,0.38742188,0.40718892,26.345839,1.3394786,0.8562199,285.27002,0.22595124,0.2969872,7.584097,0.034913976,0.7669312,75.67097,0.2664137,0.2059903,9.30873,0.05648799,0.6483484,133.67091,0.32264578,0.27775928,0.41667783,15.63638,0.044255123,178.21162,23.433613,138.46074
R3000m500m.228,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O1;s__MGIIb-O1 sp8684u,71.6,2.92,1327132,3HP/4HB,"OC3,500m",no,0.6959675,313.54346,0.3385466,0.24878122,26.40698,1.3710684,0.9420609,191.9984,0.192241,0.26982406,18.241747,0.2958122,0.5951193,122.21459,0.15832964,0.15428889,21.415163,0.08003543,0.5622926,136.9084,0.22700384,0.22591919,0.46875,44.15809,0.07356803,224.02179,39.41668,95.35112
R3000m500m.64,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp002730325,69.42,1.94,733121,3HP/4HB,"OC3,500m",no,4.2762923,15.826577,0.9113713,2.2507298,21.025644,0.4239205,20.482918,13.752834,0.5201928,0.99444664,14.080858,0.049988676,9.876714,2.8521314,0.3831621,0.39586818,7.2823462,0.029067928,3.677275,0.74547803,0.36865136,0.45234984,1.201938,5.675411,0.02307992,19.48994,33.875954,6.6451716
R3000m500m.74,d__Bacteria;p__SAR324;c__SAR324;o__SAR324;f__NAC60-12;g__UBA8110;s__UBA8110 sp002707655,88.32,0.84,3353437,3HP bi-cycle,"OC3,500m",no,16.834362,10.3530855,21.206207,6.987297,20.079523,0.04602185,11.181102,11.629012,9.880974,10.918323,11.967733,0.026258184,14.23636,4.991171,12.742285,9.162273,13.873234,0.018625608,14.081092,3.155878,19.473745,18.139256,0.6678925,25.493845,0.07020361,7.361096,6.7229023,1.873738
R3000m50m.123,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA11606;g__UBA11606;s__,96.58,2.56,3226153,3HP bi-cycle,"OC3,50m",no,0.018006723,0.12981617,0.023346407,0.017072208,0.025674153,17.92159,0.014171454,0.05381612,0.021535454,0.018491527,0.012379137,5.7522454,0.017766029,0.04153016,0.016968166,0.014322393,0.007614944,0.23634495,0.014261521,0.07388195,0.02239947,0.017613538,0.014912482,0.013770505,0.22506213,0.04448899,0.025619803,2.0788682
R3000m50m.162,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA11606;g__UBA11606;s__UBA11606 sp002729125,95.73,3.94,2753005,3HP bi-cycle,"OC3,50m",no,0.02855882,0.06644412,0.03502905,0.024853645,0.03961648,15.929865,0.024766847,0.06316048,0.028051954,0.027885318,0.027194602,5.9962983,0.02951432,0.035472192,0.029063854,0.023097558,0.019372607,0.7558628,0.029406648,0.063101515,0.039570335,0.045452032,0.04281882,0.0315297,3.138254,0.04199443,0.04857343,0.6130148
R3000m50m.18,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-L2;s__MGIIa-L2 sp016777125,54.28,0.93,1495270,3HP/4HB,"OC3,50m",no,0.003634872,0.033090364,0.003323863,0.002389457,0.005375417,11.311499,0.0030363,0.019652857,0.006958734,0.006947011,0.00286528,12.82604,0.00149298,0.021985076,0.001268171,0.00289976,0.001397815,0.8599619,0.001163352,0.03205045,0.002012247,0.001605384,0.002003283,0.00255703,0.4110122,0.019417703,0.01805161,3.148805
R3000m50m.213,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-L1;s__,84.34,0.27,2046958,3HP/4HB,"OC3,50m",no,0.009261534,0.040992763,0.013073055,0.024372017,0.015140453,17.716751,0.009785753,0.027223043,0.018313281,0.043135334,0.005792451,43.973465,0.003791869,0.026085189,0.005893659,0.012155303,0.002002056,8.822335,0.004844238,0.0310326,0.004665404,0.009187347,0.012797434,0.003895534,7.506161,0.03191252,0.046045806,3.6709073
R3000m50m.275,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA8592;g__UBA8592;s__UBA8592 sp002703045,91.03,2.14,2079866,3HP bi-cycle,"OC3,50m",no,0.009535627,0.14196669,0.015728524,0.042541143,0.027820354,10.100178,0.009021928,0.099607915,0.012196045,0.009841879,0.02156601,2.5290046,0.011496038,0.2489291,0.01595465,0.032772016,0.010410635,3.5713146,0.0253546,3.4660408,0.051584207,0.0656512,0.06233108,0.026843589,7.1985407,0.02701515,0.01854133,0.43503946
R3000m50m.337,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06;g__MedAcidi-G3;s__MedAcidi-G3 sp000817105,95.3,1.71,2544507,3HP bi-cycle,"OC3,50m",no,0.021660207,0.19892482,0.017418241,0.012761309,0.024484605,79.17911,0.016497597,0.119417995,0.019930717,0.013109832,0.019183539,21.213253,0.022459505,0.4601308,0.02417865,0.047706805,0.010296178,17.53579,0.020529494,6.3766456,0.06875749,0.03809136,0.10478039,0.024557412,29.561363,0.03270794,0.020527903,0.76556474
R3000m50m.56,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__MPNO01;f__UBA2964;g__WLWZ01;s__WLWZ01 sp905182615,76.03,4.64,2500402,3HP bi-cycle,"OC3,50m",no,0.00578174,0.031916797,0.006280052,0.005613565,0.010216424,8.206953,0.005484327,0.032546833,0.004053597,0.005010455,0.006262241,0.4091768,0.005671143,0.03746533,0.005017911,0.004877075,0.005952815,0.036223073,0.004567235,0.12052431,0.007721138,0.010387912,0.011999658,0.012519924,0.039923336,0.012921722,0.007227797,0.7981734
R3000m50m.83,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA8592;g__UBA8592;s__,94.87,3.42,2102399,3HP bi-cycle,"OC3,50m",no,0.005069118,0.09348022,0.007460184,0.005140386,0.014046976,28.853313,0.006432299,0.05737507,0.009351896,0.01075382,0.008621997,15.018975,0.008217348,0.029249547,0.011626734,0.0203817,0.004393267,8.722053,0.026229983,0.10621041,0.0231932,0.02707372,0.039822087,0.011975421,14.876244,0.028649747,0.021787928,3.3963306
R3000m50m.89,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp002731195,79.73,1.6,1460403,3HP/4HB,"OC3,50m",no,0.23182058,0.34338167,0.18857853,0.036392324,0.1621475,68.011536,0.20282444,0.29255068,0.1598615,0.07255391,0.17057927,118.33044,0.19060962,0.64020455,0.1049345,0.05393564,0.095601186,17.141584,0.1974932,1.1077421,0.19603345,0.09341466,0.074383266,0.24164233,3.7917054,0.13366535,0.10787266,8.954876
